Gene_Tag	ME	Syn	PA	Amb	Sites	Codons
BDAG_04481	1	0	1	0	1	1
BDAG_04484	1	0	1	0	1	1
BDAG_04489	1	0	1	0	1	1
BDAG_04506	5	0	5	0	4	4
BDAG_04509	1	0	1	0	1	1
BDAG_04607	1	0	1	0	1	1
BDAG_04639	2	0	2	0	2	2
BDAG_04641	1	0	1	0	1	1
BDAG_04645	1	0	1	0	1	1
BDAG_04659	1	0	1	0	1	1
BDAG_04681	2	1	1	0	2	2
BDAG_04684	1	0	1	0	1	1
BDAG_04690	1	1	0	0	1	1
BDAG_04699	1	1	0	0	1	1
BDAG_04717	1	0	1	0	1	1
BDAG_04720	2	0	2	0	2	1
BDAG_04735	1	0	1	0	1	1
BDAG_04759	1	0	1	0	1	1
BDAG_04771	1	0	1	0	1	1
BDAG_04796	1	0	1	0	1	1
BDAG_04837	1	1	0	0	1	1
BDAG_04847	1	0	1	0	1	1
BDAG_04875	1	0	1	0	1	1
BDAG_04877	1	0	1	0	1	1
BDAG_04953	1	0	1	0	1	1
BDAG_04961	1	1	0	0	1	1
BDAG_04987	1	1	0	0	1	1
